,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361
lycanrocmidnight ,,bite,bodyslam,brickbreak,bulkup,bulldoze,charm,closecombat,,counter,,crunch,dig,doubleteam,,earthpower,,,endure,facade,firefang,firepunch,fling,,foulplay,,gigaimpact,helpinghand,,howl,hypervoice,irondefense,ironhead,,,,,leer,lowsweep,,,mudslap,,outrage,,playrough,protect,psychicfangs,rest,,,reversal,roar,rockblast,,,rockslide,rockthrow,rocktomb,,sandattack,sandstorm,scaryface,shadowclaw,sleeptalk,snarl,,stealthrock,stompingtantrum,stoneedge,substitute,,sunnyday,,swordsdance,tackle,takedown,taunt,terablast,,thunderfang,thunderpunch,,trailblaze,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycanrocdusk ,accelerock,,bite,brickbreak,bulkup,bulldoze,charm,closecombat,,counter,,crunch,crushclaw,dig,doubleteam,drillrun,earthpower,,,endure,facade,firefang,,,gigaimpact,helpinghand,,howl,hypervoice,irondefense,ironhead,,,leer,,outrage,playrough,protect,psychicfangs,quickattack,quickguard,rest,,reversal,roar,rockblast,,,rockslide,rockthrow,rocktomb,,sandattack,sandstorm,scaryface,sleeptalk,snarl,,stealthrock,stompingtantrum,stoneedge,substitute,suckerpunch,,swordsdance,tackle,,takedown,taunt,terablast,,thunderfang,,trailblaze,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mareanie ,acidspray,,,bite,blizzard,,chillingwater,,,,endure,facade,,,,gunkshot,,haze,,hydropump,icebeam,icespinner,icywind,infestation,irondefense,,liquidation,,,mudshot,,,peck,pinmissile,poisonjab,poisonsting,pounce,protect,raindance,recover,rest,,,,,sleeptalk,sludgebomb,,,,,,spitup,stockpile,substitute,surf,,swallow,terablast,toxic,toxicspikes,,venoshock,waterpulse,wideguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxapex ,acidspray,,,banefulbunker,bite,blizzard,,bodyslam,,chillingwater,,,,,endure,facade,,,,gigaimpact,gunkshot,,hex,,hydropump,hyperbeam,icebeam,icespinner,icywind,,irondefense,,,liquidation,,,mudshot,,,peck,pinmissile,poisonjab,poisonsting,pounce,protect,raindance,recover,rest,,,,,scaryface,sleeptalk,sludgebomb,,,,,,,substitute,surf,,terablast,toxic,toxicspikes,,venoshock,waterpulse,wideguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mudbray ,,,bodyslam,bulldoze,closecombat,,counter,doubleedge,doublekick,,earthpower,earthquake,endeavor,endure,facade,fissure,,heavyslam,,highhorsepower,irondefense,ironhead,lowkick,lowsweep,,megakick,,mudslap,,,protect,rest,,roar,rockslide,rocksmash,rocktomb,,,sandstorm,,sleeptalk,smackdown,,stealthrock,stomp,stompingtantrum,stoneedge,strength,substitute,sunnyday,superpower,,takedown,terablast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mudsdale ,,,bodypress,bodyslam,bulldoze,closecombat,,counter,doublekick,,earthpower,earthquake,,endure,facade,focusblast,,gigaimpact,heavyslam,,highhorsepower,hyperbeam,irondefense,ironhead,,lowkick,lowsweep,megakick,mudshot,mudslap,,,protect,rest,,,,rockslide,rocksmash,rocktomb,,,sandstorm,,scaryface,sleeptalk,,stealthrock,stomp,stompingtantrum,stoneedge,strength,substitute,sunnyday,superpower,,takedown,terablast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fomantis ,,,,bulletseed,,defog,,,endure,energyball,facade,falseswipe,fling,,furycutter,gigadrain,grassknot,,grassyterrain,growth,,ingrain,leafage,leafblade,leafstorm,leechlife,magicalleaf,,,,protect,razorleaf,rest,,,,seedbomb,,slash,sleeptalk,,solarbeam,substitute,sunnyday,,sweetscent,swordsdance,synthesis,takedown,terablast,,trailblaze,,worryseed,xscissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lurantis ,,,brickbreak,,bulletseed,,,,,,endure,energyball,facade,falseswipe,fling,,furycutter,gigadrain,gigaimpact,grassknot,,grassyterrain,growth,,hyperbeam,ingrain,,,leafage,leafblade,leafstorm,leechlife,lowsweep,magicalleaf,,nightslash,,petalblizzard,poisonjab,pollenpuff,protect,,raindance,razorleaf,rest,,,,scaryface,seedbomb,,slash,sleeptalk,,solarbeam,solarblade,substitute,sunnyday,,,sweetscent,swordsdance,synthesis,takedown,terablast,,trailblaze,,,xscissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salandit ,acidspray,agility,,,belch,,,,,dragonclaw,dragonpulse,,ember,endeavor,endure,facade,fakeout,fireblast,firefang,,,flamethrower,flareblitz,fling,foulplay,,gunkshot,heatwave,helpinghand,,incinerate,,,leechlife,mudslap,nastyplot,overheat,,poisonfang,poisongas,poisonjab,poisontail,protect,rest,,,sandattack,,scaryface,scratch,shadowclaw,,sleeptalk,sludgebomb,,smog,,,substitute,sunnyday,,sweetscent,swift,takedown,taunt,terablast,thief,thunderwave,,toxic,toxicspikes,trailblaze,,venoshock,willowisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salazzle ,acidspray,acrobatics,agility,,,bodyslam,,,,,,,disable,,,dragonclaw,dragondance,dragonpulse,,,ember,encore,endeavor,endure,facade,,faketears,fireblast,firefang,firelash,,,flamethrower,flareblitz,fling,foulplay,,gigaimpact,gunkshot,heatwave,helpinghand,,hyperbeam,hypervoice,incinerate,,knockoff,,leechlife,mudslap,nastyplot,overheat,,poisonfang,poisongas,poisonjab,poisontail,pound,protect,rest,,,,scaryface,scratch,shadowclaw,,sleeptalk,sludgebomb,,smog,,,substitute,sunnyday,swagger,sweetscent,swift,takedown,taunt,terablast,thief,thunderwave,torment,toxic,toxicspikes,trailblaze,,venoshock,willowisp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bounsweet ,acupressure,,aromaticmist,,,bulletseed,charm,,,dazzlinggleam,,drainingkiss,endeavor,endure,energyball,facade,,flail,,gigadrain,grassknot,,,grassyterrain,helpinghand,,leafstorm,lightscreen,magicalleaf,,playnice,playrough,protect,rapidspin,razorleaf,reflect,rest,,,,seedbomb,sleeptalk,,solarbeam,splash,substitute,sunnyday,,sweetscent,swift,synthesis,takedown,teeterdance,terablast,,trailblaze,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steenee ,,aromaticmist,,,bulletseed,,charm,,,dazzlinggleam,,,drainingkiss,,endure,energyball,facade,flail,fling,,gigadrain,grassknot,,grassyterrain,helpinghand,,,leafstorm,lightscreen,lowsweep,magicalleaf,,,playnice,playrough,protect,rapidspin,razorleaf,reflect,rest,,,,seedbomb,sleeptalk,,solarbeam,splash,stomp,substitute,sunnyday,,sweetscent,swift,,takedown,teeterdance,terablast,,trailblaze,,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsareena ,acrobatics,,aromaticmist,,,bulletseed,,charm,,,dazzlinggleam,,,drainingkiss,,endure,energyball,facade,flail,fling,,gigadrain,gigaimpact,grassknot,,grassyterrain,helpinghand,,highjumpkick,hyperbeam,,,leafstorm,lightscreen,lowkick,lowsweep,magicalleaf,,,,playnice,playrough,powerwhip,protect,,rapidspin,razorleaf,reflect,rest,,,,seedbomb,sleeptalk,,solarbeam,,splash,stomp,substitute,sunnyday,swagger,sweetscent,swift,,takedown,taunt,teeterdance,terablast,,trailblaze,,tropkick,uturn,,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oranguru ,afteryou,,,,bodyslam,brickbreak,,bulldoze,calmmind,chargebeam,chillingwater,,confusion,,,dreameater,earthquake,,encore,endure,energyball,,extrasensory,facade,,fling,focusblast,foulplay,,futuresight,gigaimpact,,,hyperbeam,hypervoice,imprison,instruct,,lastresort,lightscreen,,,,,nastyplot,,,,protect,psybeam,psychic,psychicterrain,psychup,psyshock,quash,raindance,reflect,rest,,rockslide,,,scaryface,shadowball,skillswap,sleeptalk,,,,storedpower,substitute,sunnyday,,swift,takedown,taunt,,terablast,,thunder,thunderbolt,,trailblaze,trick,trickroom,,,yawn,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passimian ,acrobatics,,,,batonpass,beatup,,,bodyslam,brickbreak,,bulkup,bulldoze,chillingwater,closecombat,,,counter,doubleedge,,drainpunch,earthquake,,,endure,energyball,facade,feint,fling,focusblast,focusenergy,,,gigaimpact,grassknot,gunkshot,,,hyperbeam,ironhead,,knockoff,,leer,lowkick,lowsweep,,,,protect,quickattack,quickguard,raindance,rest,,,,reversal,rockslide,rocksmash,rocktomb,,scaryface,seedbomb,seismictoss,shadowball,,sleeptalk,,,,substitute,sunnyday,,,tackle,takedown,taunt,terablast,thief,thrash,,trailblaze,,uturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandygast ,absorb,,amnesia,ancientpower,astonish,,,,bulldoze,chillingwater,,confuseray,curse,destinybond,,earthpower,earthquake,endure,energyball,facade,flashcannon,fling,,gigadrain,,harden,hex,,hypnosis,imprison,,irondefense,megadrain,mudshot,mudslap,nightshade,,,protect,psychic,raindance,,rest,,,rockslide,rocktomb,,,sandattack,sandstorm,sandtomb,scaryface,,shadowball,shoreup,skillswap,sleeptalk,sludgebomb,,,spitup,stealthrock,stockpile,stoneedge,substitute,sunnyday,,swallow,terablast,,trick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palossand ,absorb,,amnesia,astonish,,,bodyslam,,bulldoze,chillingwater,,confuseray,,earthpower,earthquake,,endure,energyball,facade,flashcannon,fling,,gigadrain,gigaimpact,,harden,hex,,hyperbeam,hypnosis,imprison,,irondefense,megadrain,mudshot,mudslap,nightshade,,,protect,psychic,,raindance,,rest,,,rockslide,rocktomb,,,sandattack,sandstorm,sandtomb,scaryface,,shadowball,shoreup,skillswap,sleeptalk,sludgebomb,,,stealthrock,stoneedge,substitute,sunnyday,,terablast,,,trick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
komala ,acrobatics,,bodyslam,brickbreak,bulkup,bulldoze,calmmind,charm,,defensecurl,,earthquake,,endure,facade,flail,fling,,gigaimpact,gunkshot,,hyperbeam,icespinner,ironhead,,,lowkick,lowsweep,metalclaw,,playrough,protect,psychup,,raindance,rapidspin,,reversal,rockslide,rocktomb,rollout,,seedbomb,shadowclaw,sing,slam,sleeptalk,,spitup,stockpile,stompingtantrum,substitute,suckerpunch,sunnyday,superpower,,swallow,swordsdance,takedown,terablast,thief,thrash,,trailblaze,uturn,wish,woodhammer,,yawn,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimikyu ,,astonish,,babydolleyes,,bulkup,,,charm,,confuseray,copycat,,curse,darkpulse,dazzlinggleam,destinybond,doubleteam,drainingkiss,drainpunch,,,endure,facade,,fling,,gigadrain,gigaimpact,,hex,,honeclaws,hyperbeam,,,leechlife,lightscreen,,mimic,mistyterrain,,nightshade,painsplit,,phantomforce,playrough,pounce,protect,psychic,,raindance,rest,,,,scratch,,shadowball,shadowclaw,shadowsneak,slash,sleeptalk,,,,splash,substitute,sunnyday,,swordsdance,takedown,taunt,,terablast,thief,thunder,thunderbolt,thunderwave,,trailblaze,trick,trickroom,willowisp,woodhammer,,xscissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruxish ,,,agility,,aquajet,aquatail,astonish,,bite,blizzard,bulkup,calmmind,chillingwater,,confusion,crunch,disable,,,,endure,facade,,,,gigaimpact,,hydropump,hyperbeam,icebeam,icefang,icywind,,lightscreen,liquidation,,,,,poisonfang,protect,psychic,psychicfangs,psychicterrain,psyshock,,,raindance,reflect,rest,,,,,scaryface,screech,,sleeptalk,,,substitute,superfang,surf,,swordsdance,,takedown,taunt,,terablast,,,trickroom,,venoshock,waterfall,watergun,waterpulse,wavecrash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magearna ,,agility,aurasphere,aurorabeam,batonpass,bodyslam,brickbreak,calmmind,chargebeam,,confuseray,,dazzlinggleam,defensecurl,disarmingvoice,,drainingkiss,,eerieimpulse,electroball,,,encore,endure,energyball,,facade,falseswipe,flashcannon,fleurcannon,focusblast,,,gigaimpact,grassknot,,gyroball,,,heavyslam,helpinghand,,hyperbeam,icebeam,icespinner,imprison,irondefense,ironhead,,lightscreen,lockon,,magneticflux,,,,,mistyterrain,painsplit,playrough,,protect,psybeam,psychic,psyshock,reflect,rest,,rollout,,,shadowball,shiftgear,,,skillswap,sleeptalk,,snowscape,solarbeam,,,spikes,steelbeam,,storedpower,substitute,sunnyday,,swift,,takedown,terablast,thunderbolt,thunderwave,,trick,trickroom,,voltswitch,zapcannon,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magearnaoriginal ,agility,aurasphere,aurorabeam,batonpass,bodyslam,brickbreak,calmmind,chargebeam,confuseray,,dazzlinggleam,defensecurl,disarmingvoice,drainingkiss,eerieimpulse,electroball,,encore,endure,energyball,facade,falseswipe,flashcannon,fleurcannon,focusblast,,gigaimpact,grassknot,,gyroball,heavyslam,helpinghand,hyperbeam,icebeam,icespinner,imprison,irondefense,ironhead,lightscreen,lockon,magneticflux,,,mistyterrain,painsplit,playrough,,protect,psybeam,psychic,psyshock,reflect,rest,rollout,,,shadowball,shiftgear,skillswap,sleeptalk,,snowscape,solarbeam,,spikes,steelbeam,,storedpower,substitute,sunnyday,swift,takedown,terablast,thunderbolt,thunderwave,,trick,trickroom,voltswitch,zapcannon,zenheadbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grookey ,acrobatics,,,bodyslam,branchpoke,bulletseed,drainpunch,endeavor,endure,energyball,facade,fakeout,falseswipe,fling,,gigadrain,grassknot,grasspledge,,grassyterrain,growl,growth,hammerarm,knockoff,leafstorm,leechseed,lowkick,magicalleaf,,,,protect,razorleaf,rest,,scratch,screech,seedbomb,slam,sleeptalk,,solarbeam,,strength,substitute,sunnyday,swift,swordsdance,takedown,taunt,terablast,thief,trailblaze,uproar,uturn,woodhammer,,worryseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
